,Unnamed: 0.1,year,weight,value,number_harvesters,price_per_lb,clusters,cluster
88,507,2009,250797.81,708142.86,26,2.82356078,0,pink
89,508,2009,341649.3,862057.03,30,2.523222,0,pink
90,509,2009,33490.0,109947.25,3,3.282987459,0,pink
91,510,2009,114679.47,355058.86,21,3.096097846,0,pink
92,511,2009,2314639.46,6613186.002,180,2.857112789,2,dark purple
93,512,2009,599035.05,1785762.267,38,2.981064742,0,pink
94,513,2009,109871.25,303888.32,15,2.765858402,0,pink
95,514,2009,2612190.16,7329238.495,251,2.805782905,2,dark purple
96,515,2009,184881.14,613819.87,28,3.320078349,0,pink
97,516,2009,1140214.09,3773315.659,87,3.309304535,0,pink
98,517,2009,138124.0,453878.85,30,3.286024514,0,pink
99,518,2009,1656981.11,4720213.115,92,2.848682515,0,pink
100,519,2009,39417.97,151093.519,9,3.833112639,0,pink
101,520,2009,1006140.26,2823227.955,51,2.805998395,0,pink
102,521,2009,224343.54,739399.829,13,3.295837397,0,pink
103,522,2009,100690.8,324282.619,8,3.220578434,0,pink
104,523,2009,49518.4,161947.554,20,3.270452074,0,pink
105,524,2009,8753838.91,26116590.87,669,2.983444308,2,dark purple
106,525,2009,228989.5,771420.045,21,3.368800949,0,pink
107,526,2009,1908663.54,5671172.008,86,2.971279059,0,pink
108,527,2009,6995.4,20662.235,5,2.953688853,0,pink
109,528,2009,541789.0,1759730.28,44,3.247999276,0,pink
110,529,2009,55440.23,176555.942,9,3.184617777,0,pink
111,530,2009,2812726.47,7720441.671,189,2.744824907,2,dark purple
112,531,2009,2434758.4,7571998.949,241,3.109959062,2,dark purple
113,532,2009,591932.0,1801115.4,28,3.04277417,0,pink
114,533,2009,2717723.89,8015821.802,204,2.949461434,2,dark purple
115,534,2009,169698.69,480336.909,23,2.830528091,0,pink
116,535,2009,435866.89,1140833.415,41,2.617389486,0,pink
117,536,2009,54599.4,181999.1,21,3.33335348,0,pink
118,537,2009,252854.65,787642.913,31,3.115002682,0,pink
119,538,2009,1505896.02,4265916.28,100,2.83280932,0,pink
120,539,2009,425200.63,1224540.68,23,2.879912666,0,pink
121,540,2009,1508116.27,5065990.876,150,3.359151398,0,pink
122,541,2009,2962924.63,7079176.525,148,2.389252988,2,dark purple
123,542,2009,93182.84,316313.61,11,3.394547859,0,pink
124,543,2009,1413494.9,4125765.006,84,2.918839683,0,pink
125,544,2009,9155486.1,25752633.48,376,2.812808976,2,dark purple
126,545,2009,90182.5,290368.909,13,3.219792188,0,pink
127,546,2009,2112753.39,6283812.08,128,2.974228847,0,pink
128,547,2009,1694345.52,4535460.024,87,2.676821209,0,pink
129,548,2009,457454.51,1464825.188,66,3.202122082,0,pink
130,549,2009,126189.75,396257.638,31,3.140172938,0,pink
131,550,2009,4719606.35,13650575.01,219,2.892312197,2,dark purple
132,551,2009,35442.34,119742.664,8,3.378520267,0,pink
133,552,2009,85585.3,233359.445,23,2.726629982,0,pink
134,553,2009,1169618.5,3361165.915,39,2.873728412,0,pink
135,554,2009,321183.3,968220.575,42,3.014542085,0,pink
136,555,2009,526331.05,1764645.61,32,3.352729447,0,pink
137,767,2010,1208556.46,3610369.841,81,2.98734065,0,pink
138,768,2010,1536581.92,5129486.472,75,3.338244714,0,pink
139,769,2010,945626.26,3556241.639,31,3.760726398,0,pink
140,770,2010,2011482.55,7134756.935,136,3.547014084,2,dark purple
141,771,2010,3418648.18,10712121.23,216,3.133437741,2,dark purple
142,772,2010,181319.86,606141.484,42,3.342940393,0,pink
143,773,2010,883767.55,2945233.94,53,3.332588914,0,pink
144,774,2010,5577.0,20762.8,5,3.722933477,0,pink
145,775,2010,1165040.9,3778447.57,132,3.243188776,0,pink
146,776,2010,871969.29,2548066.34,62,2.92219734,0,pink
147,777,2010,200040.92,618028.13,16,3.089508537,0,pink
148,778,2010,20059.6,71439.098,6,3.561342101,0,pink
149,779,2010,108783.5,394407.94,24,3.62562282,0,pink
150,780,2010,686195.5,2516629.375,46,3.667510753,0,pink
151,781,2010,1301476.42,4141077.135,64,3.181830321,0,pink
152,782,2010,1496721.75,5084616.524,72,3.397168862,0,pink
153,783,2010,1738808.5,5933265.44,51,3.41225928,0,pink
154,784,2010,161783.2,560577.425,13,3.464991575,0,pink
155,785,2010,837162.51,3149041.452,32,3.761565305,0,pink
156,786,2010,30215.6,118746.63,5,3.929977561,0,pink
157,787,2010,302906.3,1058327.858,43,3.493911675,0,pink
158,788,2010,253753.2,895282.645,16,3.528162975,0,pink
159,789,2010,246290.3,830459.16,19,3.371871162,0,pink
160,790,2010,3988157.8,14144978.4,175,3.546744916,2,dark purple
161,791,2010,292870.6,984366.95,25,3.361098553,0,pink
162,792,2010,331789.2,971205.12,24,2.927175206,0,pink
163,793,2010,32866.5,122607.2,2,3.730461108,0,pink
164,794,2010,182562.45,647024.903,26,3.544129162,0,pink
165,795,2010,2572267.2,8504880.503,199,3.30637521,2,dark purple
166,796,2010,788245.15,2776411.9,33,3.522269563,0,pink
167,797,2010,124991.4,384535.26,10,3.076493743,0,pink
168,798,2010,2759478.5,8909438.6,189,3.228667518,2,dark purple
169,799,2010,197060.69,700322.915,23,3.553843818,0,pink
170,800,2010,1166674.84,4246177.773,76,3.639555451,0,pink
171,801,2010,180629.15,665459.315,19,3.684119175,0,pink
172,802,2010,197471.36,733550.991,30,3.714720914,0,pink
173,803,2010,807025.0,2597432.785,50,3.21852828,0,pink
174,804,2010,836534.43,3074495.441,46,3.67527663,0,pink
175,805,2010,2296008.8,7528936.865,88,3.279141119,2,dark purple
176,806,2010,77949.05,326812.73,10,4.192645452,0,pink
177,807,2010,985786.77,3103343.818,47,3.148088321,0,pink
178,808,2010,400279.55,1518717.832,19,3.794142948,0,pink
179,809,2010,208862.1,770527.605,11,3.689169098,0,pink
180,810,2010,72533.4,270105.86,4,3.723882515,0,pink
181,811,2010,169169.15,602857.484,11,3.563637247,0,pink
182,812,2010,20699.9,73232.045,5,3.537797042,0,pink
183,813,2010,8779810.07,29538977.23,482,3.364420983,1,purple
184,814,2010,1639.8,6754.405,4,4.119041956,0,pink
185,815,2010,1721303.69,6079829.415,52,3.53210735,0,pink
186,816,2010,255134.1,833876.885,28,3.268386645,0,pink
187,817,2010,6992.2,23719.166,5,3.392232202,0,pink
188,818,2010,358826.52,1304481.34,30,3.635409501,0,pink
189,819,2010,8128.03,31726.313,4,3.903321346,0,pink
190,820,2010,2481484.61,7838310.274,155,3.158718068,2,dark purple
191,821,2010,2796452.37,9968374.521,195,3.564650208,2,dark purple
192,822,2010,626296.0,2193107.9,33,3.501711491,0,pink
193,823,2010,2118440.24,7551932.041,191,3.564854886,2,dark purple
194,824,2010,292060.46,994936.036,22,3.406609837,0,pink
195,825,2010,548434.86,1696466.515,46,3.093287168,0,pink
196,826,2010,72039.32,247505.24,15,3.435696506,0,pink
197,827,2010,417373.43,1438080.261,41,3.445548177,0,pink
198,828,2010,357788.52,1086208.47,27,3.035895255,0,pink
199,829,2010,1481919.63,4674166.85,95,3.154129789,0,pink
200,830,2010,450858.0,1551575.32,19,3.441383584,0,pink
201,831,2010,375965.5,1221130.9,33,3.247986584,0,pink
202,832,2010,1806522.33,6540708.7,125,3.620607723,2,dark purple
203,833,2010,3555223.16,10169359.59,173,2.860399793,2,dark purple
204,834,2010,1854797.5,5908002.951,87,3.185254968,0,pink
205,835,2010,14569084.43,46512113.22,451,3.192521359,1,purple
206,836,2010,147826.45,536298.908,13,3.627895468,0,pink
207,837,2010,2302719.9,7780293.014,96,3.378740512,2,dark purple
208,838,2010,2264445.75,6866002.46,89,3.032089623,2,dark purple
209,839,2010,17261.2,64079.32,15,3.712332862,0,pink
210,840,2010,5842761.15,18982905.85,204,3.248961469,2,dark purple
211,841,2010,43997.0,170401.54,5,3.873026343,0,pink
212,842,2010,35547.08,126076.187,10,3.546738213,0,pink
213,843,2010,4236.5,13298.92,4,3.139128998,0,pink
214,844,2010,1476912.0,4902237.26,40,3.319248039,0,pink
215,845,2010,171648.5,533345.825,23,3.107197703,0,pink
216,846,2010,110191.2,412684.075,35,3.745163634,0,pink
217,847,2010,551969.91,2021978.802,32,3.663204761,0,pink
218,1090,2011,1218808.15,3313274.809,88,2.718454754,0,pink
219,1091,2011,1622881.33,5351862.056,80,3.297753173,0,pink
220,1092,2011,1183074.58,4012513.873,53,3.391598417,0,pink
221,1093,2011,2298947.0,7732566.05,114,3.363525149,2,dark purple
222,1094,2011,3744067.94,11148829.22,221,2.977731547,2,dark purple
223,1095,2011,223052.79,679324.067,43,3.045575296,0,pink
224,1096,2011,179734.61,641118.355,22,3.567027825,0,pink
225,1097,2011,1262613.01,4123448.201,56,3.265805253,0,pink
226,1098,2011,10248.58,42144.0,5,4.112179443,0,pink
227,1099,2011,1350867.81,4364008.926,126,3.230522553,0,pink
228,1100,2011,867123.13,2575419.88,59,2.970074019,0,pink
229,1101,2011,143016.49,435417.583,12,3.044527124,0,pink
230,1102,2011,48025.26,159854.327,10,3.328546831,0,pink
231,1103,2011,326048.7,944643.735,35,2.897247359,0,pink
232,1104,2011,6837.79,22485.278,4,3.28838382,0,pink
233,1105,2011,98663.15,363038.103,23,3.67957138,0,pink
234,1106,2011,692716.53,2444457.0,48,3.528798425,0,pink
235,1107,2011,1339013.13,4158309.363,64,3.105503053,0,pink
236,1108,2011,1676328.21,5662931.083,79,3.378175616,0,pink
237,1109,2011,1917014.5,5836357.646,58,3.044503652,0,pink
238,1110,2011,386677.5,1309720.285,32,3.387112736,0,pink
239,1111,2011,802852.7,2748950.349,35,3.423978457,0,pink
240,1112,2011,4432.0,13273.13,4,2.994839801,0,pink
241,1113,2011,34840.7,140924.207,7,4.044815604,0,pink
242,1114,2011,163001.75,604600.89,33,3.709168092,0,pink
243,1115,2011,245749.5,840520.9,16,3.420234426,0,pink
244,1116,2011,4325524.0,14517817.37,172,3.356314141,2,dark purple
245,1117,2011,317803.09,1032052.76,22,3.247459803,0,pink
246,1118,2011,491533.8,1288578.74,24,2.621546555,0,pink
247,1119,2011,32469.0,116154.15,5,3.577386122,0,pink
248,1120,2011,224507.35,773376.636,24,3.444772013,0,pink
249,1121,2011,2793678.29,9295513.272,184,3.327338479,2,dark purple
250,1122,2011,128682.85,418540.41,7,3.252495651,0,pink
251,1123,2011,2722772.55,7709565.427,175,2.831512837,2,dark purple
252,1124,2011,193801.23,667230.362,23,3.442859274,0,pink
253,1125,2011,1228797.9,4493244.585,72,3.656618053,0,pink
254,1126,2011,37005.0,124436.69,5,3.362699365,0,pink
255,1127,2011,223461.25,845784.221,30,3.784925668,0,pink
256,1128,2011,1089959.62,3131018.635,48,2.872600579,0,pink
257,1129,2011,2509756.6,7943347.59,112,3.16498723,2,dark purple
258,1130,2011,63478.27,250163.17,11,3.940926084,0,pink
259,1131,2011,1048239.5,3162010.795,48,3.016496512,0,pink
260,1132,2011,268047.61,974035.295,15,3.633814512,0,pink
261,1133,2011,73656.1,264950.775,3,3.597132824,0,pink
262,1134,2011,11414532.54,36936692.37,620,3.235935615,1,purple
263,1135,2011,2039086.67,6791522.32,49,3.330668784,2,dark purple
264,1136,2011,248966.5,794349.92,29,3.190589577,0,pink
265,1137,2011,13049.0,44476.631,4,3.40843214,0,pink
266,1138,2011,413174.73,1527567.404,34,3.697146251,0,pink
267,1139,2011,10820.45,35805.0,5,3.309012102,0,pink
268,1140,2011,2512218.5,7468168.08,137,2.972738271,2,dark purple
269,1141,2011,3200965.23,11114827.89,199,3.47233634,2,dark purple
270,1142,2011,697689.0,2328791.225,58,3.337864328,0,pink
271,1143,2011,5365558.74,18647636.7,297,3.475432402,2,dark purple
272,1144,2011,388664.53,1252485.812,18,3.222536958,0,pink
273,1145,2011,510368.71,1558569.115,42,3.053810088,0,pink
274,1146,2011,70201.3,250551.225,17,3.569039676,0,pink
275,1147,2011,411376.02,1390402.21,40,3.379881525,0,pink
276,1148,2011,42915.0,120352.55,6,2.804440172,0,pink
277,1149,2011,1486807.65,4650300.72,105,3.127708362,0,pink
278,1150,2011,467402.06,1539832.3,24,3.294449109,0,pink
279,1151,2011,409370.5,1317955.56,35,3.219468819,0,pink
280,1152,2011,1934349.09,6737146.307,122,3.482900962,2,dark purple
281,1153,2011,3793805.56,10787584.86,184,2.843473312,2,dark purple
282,1154,2011,107679.3,379006.62,7,3.519772324,0,pink
283,1155,2011,1496817.95,4687509.185,79,3.1316495,0,pink
284,1156,2011,61277.16,208075.021,7,3.395637477,0,pink
285,1157,2011,15571523.32,48224275.65,414,3.096952986,1,purple
286,1158,2011,156964.0,552337.6,10,3.518880762,0,pink
287,1159,2011,2184196.81,7188272.933,92,3.29103719,2,dark purple
288,1160,2011,2309063.46,6508024.175,95,2.818469171,2,dark purple
289,1161,2011,332483.78,1224923.13,5,3.684159059,0,pink
290,1162,2011,81565.0,269267.67,27,3.301264881,0,pink
291,1163,2011,5498650.85,16686985.44,195,3.034741775,2,dark purple
292,1164,2011,41715.79,144044.413,10,3.452994969,0,pink
293,1165,2011,1427777.0,4321574.75,43,3.02678552,0,pink
294,1166,2011,35891.3,135092.145,7,3.763924544,0,pink
295,1167,2011,567989.42,2037512.67,29,3.587237012,0,pink
296,1404,2012,1887367.87,4344756.089,81,2.302018678,0,pink
297,1405,2012,2035393.28,5782418.108,82,2.840934067,0,pink
298,1406,2012,1362575.9,3923839.904,40,2.879722079,0,pink
299,1407,2012,2880469.21,8163772.057,85,2.83418133,2,dark purple
300,1408,2012,4619873.65,10818257.78,207,2.341678279,2,dark purple
301,1409,2012,301535.56,763500.226,43,2.53204042,0,pink
302,1410,2012,204565.41,658415.623,24,3.218606816,0,pink
303,1411,2012,1791497.37,4748711.103,61,2.650693873,0,pink
304,1412,2012,1443210.0,4216828.048,118,2.921839544,0,pink
305,1413,2012,1048178.0,2556472.47,57,2.438967876,0,pink
306,1414,2012,252192.89,613872.51,13,2.434138845,0,pink
307,1415,2012,96379.09,264571.953,5,2.745117774,0,pink
308,1416,2012,624502.95,1375181.01,40,2.202040855,0,pink
309,1417,2012,11311.72,31743.211,4,2.806223192,0,pink
310,1418,2012,111219.11,384533.686,24,3.457442574,0,pink
311,1419,2012,775202.67,2494921.63,47,3.21841207,0,pink
312,1420,2012,43168.06,113620.603,5,2.632052564,0,pink
313,1421,2012,2072034.3,5634767.5,114,2.719437366,0,pink
314,1422,2012,2195160.03,6715548.88,85,3.059252532,2,dark purple
315,1423,2012,2440469.0,6237245.8,56,2.555757029,2,dark purple
316,1424,2012,1537007.99,4363266.45,50,2.838805314,0,pink
317,1425,2012,836897.69,2519719.537,40,3.010785628,0,pink
318,1426,2012,92913.07,298361.377,7,3.211188447,0,pink
319,1427,2012,425374.5,1315479.43,55,3.092520661,0,pink
320,1428,2012,245235.41,722187.015,20,2.9448725,0,pink
321,1429,2012,235374.05,718770.37,13,3.05373668,0,pink
322,1430,2012,4666396.35,13316207.88,172,2.853638414,2,dark purple
323,1431,2012,445272.95,1281338.05,25,2.877646284,0,pink
324,1432,2012,543642.54,1119660.87,18,2.059553452,0,pink
325,1433,2012,40595.0,111925.3,3,2.757120335,0,pink
326,1434,2012,145879.2,388049.645,24,2.66007522,0,pink
327,1435,2012,2389798.23,7058366.507,122,2.953540771,2,dark purple
328,1436,2012,1192602.0,3431405.15,33,2.877242492,0,pink
329,1437,2012,124870.25,339849.38,8,2.721620082,0,pink
330,1438,2012,3737602.95,8324645.338,183,2.227268506,2,dark purple
331,1439,2012,10828.3,31537.5,5,2.912507042,0,pink
332,1440,2012,251437.84,786413.148,23,3.127664269,0,pink
333,1441,2012,1428198.88,4773725.408,70,3.342479451,0,pink
334,1442,2012,268314.24,772555.851,17,2.879295005,0,pink
335,1443,2012,48510.75,138108.5,7,2.846966909,0,pink
336,1444,2012,421859.71,1262480.308,29,2.992654378,0,pink
